Reference,Status,Survey title,Source title,Survey authors,Source authors,Survey year,Source dates,Survey venue,Source venue,Source URL,Link status,Notes
51,matched,Semantic volume: Quantifying and detecting both external and internal uncertainty in llms,Semantic Volume: Quantifying and Detecting both External and Internal Uncertainty in LLMs,"Xiaomin Li, Zhou Yu, Ziji Zhang, Yingying Zhuang, Swair Shah, Narayanan Sadagopan, and Anurag Beniwal",Xiaomin Li; Zhou Yu; Ziji Zhang; Yingying Zhuang; Swair Shah; Narayanan Sadagopan; Anurag Beniwal,2025,2025/02/28; 2025/11/11,"arXiv preprint arXiv:2502.21239, 2025.",arXiv preprint,https://arxiv.org/abs/2502.21239,reachable,
52,matched,Semantic density: Uncertainty quantification for large language models through confidence measurement in semantic space,Semantic Density: Uncertainty Quantification for Large Language Models through Confidence Measurement in Semantic Space,Xin Qiu and Risto Miikkulainen,Xin Qiu; Risto Miikkulainen,2024,2024; 2024,"Advances in neural information processing systems, 37:134507–134533, 2024.",Advances in Neural Information Processing Systems 37,https://doi.org/10.52202/079017-4274,reachable,
53,matched,Detection of adversarial examples in text classification: Benchmark and baseline via robust density estimation,Detection of Adversarial Examples in Text Classification: Benchmark and Baseline via Robust Density Estimation,"KiYoon Yoo, Jangho Kim, Jiho Jang, and Nojun Kwak",KiYoon Yoo; Jangho Kim; Jiho Jang; Nojun Kwak,2022,2022/5,"InFindings of the Association for Computational Linguistics: ACL 2022, pages 3656–3672, 2022.",Findings of the Association for Computational Linguistics: ACL 2022,https://doi.org/10.18653/v1/2022.findings-acl.289,reachable,
54,matched,Relevant and informative response generation using pointwise mutual information,Relevant and Informative Response Generation using Pointwise Mutual Information,Junya Takayama and Yuki Arase,Junya Takayama; Yuki Arase,2019,2019/8,"InProceedings of the First Workshop on NLP for Conversational AI, pages 133–138, 2019.",Proceedings of the First Workshop on NLP for Conversational AI,https://doi.org/10.18653/v1/w19-4115,reachable,
55,matched,Mutual information alleviates hallucinations in abstractive summarization,Mutual Information Alleviates Hallucinations in Abstractive Summarization,"Liam Van der Poel, Ryan Cotterell, and Clara Meister",Liam Van Der Poel; Ryan Cotterell; Clara Meister,2022,2022/12,"InProceedings of the 2022 Conference on Empirical Methods in Natural Language Processing, pages 5956–5965, 2022.",Proceedings of the 2022 Conference on Empirical Methods in Natural Language Processing,https://doi.org/10.18653/v1/2022.emnlp-main.399,reachable,
56,version,Vision-amplified semantic entropy for hallucination detection in medical visual question answering,Vision-Amplified Semantic Entropy for Hallucination Detection in Medical Visual Question Answering,"Zehui Liao, Shishuai Hu, Ke Zou, Huazhu Fu, Liangli Zhen, and Yong Xia",Zehui Liao; Shishuai Hu; Ke Zou; Huazhu Fu; Liangli Zhen; Yong Xia,2025,2025/03/26; 2025/03/26,"InMedical Image Computing and Computer Assisted Intervention (MICCAI), 2025. arXiv:2503.20504.",arXiv preprint,https://arxiv.org/abs/2503.20504v1,reachable,The survey title matches the earlier arXiv version. The current version is titled “UniVRSE: Unified Vision-conditioned Response Semantic Entropy for Hallucination Detection in Medical Vision-Language Models”.
57,matched,Uncertainty estimation in autoregressive structured prediction,Uncertainty Estimation in Autoregressive Structured Prediction,Andrey Malinin and Mark Gales,Andrey Malinin; Mark Gales,2021,2020/02/18; 2021/02/11,"In International Conference on Learning Representations, 2021.",ICLR 2021,https://arxiv.org/abs/2002.07650,reachable,Conference and year confirmed by the conference or author publication record: ICLR 2021.
58,matched,Lmpolygraph: Uncertainty estimation for language models,LM-Polygraph: Uncertainty Estimation for Language Models,"Ekaterina Fadeeva, Roman Vashurin, Akim Tsvigun, Artem Vazhentsev, Sergey Petrakov, Kirill Fedyanin, Daniil Vasilev, Elizaveta Goncharova, Alexander Panchenko, Maxim Panov, et al",Ekaterina Fadeeva; Roman Vashurin; Akim Tsvigun; Artem Vazhentsev; Sergey Petrakov; Kirill Fedyanin; Daniil Vasilev; Elizaveta Goncharova; Alexander Panchenko; Maxim Panov; Timothy Baldwin; Artem Shelmanov,2023,2023/12,"InProceedings of the 2023 Conference on Empirical Methods in Natural Language Processing: System Demonstrations, pages 446–461, 2023.",Proceedings of the 2023 Conference on Empirical Methods in Natural Language Processing: System Demonstrations,https://aclanthology.org/2023.emnlp-demo.41/,reachable,
59,matched,Shifting attention to relevance: Towards the predictive uncertainty quantification of free-form large language models,Shifting Attention to Relevance: Towards the Predictive Uncertainty Quantification of Free-Form Large Language Models,"Jinhao Duan, Hao Cheng, Shiqi Wang, Alex Zavalny, Chenan Wang, Renjing Xu, Bhavya Kailkhura, and Kaidi Xu",Jinhao Duan; Hao Cheng; Shiqi Wang; Alex Zavalny; Chenan Wang; Renjing Xu; Bhavya Kailkhura; Kaidi Xu,2024,2023/07/03; 2024/05/28,,arXiv preprint,https://arxiv.org/abs/2307.01379,reachable,
60,matched,Tecp: Token-entropy conformal prediction for llms,TECP: Token-Entropy Conformal Prediction for LLMs,Beining Xu and Yongming Lu,Beining Xu; Yongming Lu,2025,2025/08/30; 2025/09/05,,arXiv preprint,https://arxiv.org/abs/2509.00461,reachable,
