Reference,Status,Survey title,Source title,Survey authors,Source authors,Survey year,Source dates,Survey venue,Source venue,Source URL,Link status,Notes
91,differences,Rethinking llm uncertainty: A multi-agent approach to estimating black-box model uncertainty,Rethinking LLM Uncertainty: A Multi-Agent Approach to Estimating Black-Box Model Uncertainty,"Yu Feng, Phu Mon Htut, Zheng Qi, Wei Xiao, Manuel Mager, Nikolaos Pappas, Kishaloy Halder, Yang Li, Yassine Benajiba, and Dan Roth",Yu Feng; Phu Mon Htut; Zheng Qi; Wei Xiao; Manuel Mager; Nikolaos Pappas; Kishaloy Halder; Yang Li; Yassine Benajiba; Dan Roth,2024,2025/11,"InConference on Empirical Methods in Natural Language Processing, 2024.",Findings of the Association for Computational Linguistics: EMNLP 2025,https://doi.org/10.18653/v1/2025.findings-emnlp.660,reachable,Survey year: 2024. Selected source date year(s): 2025. Preprint and publication dates must be cited as separate versions.
92,matched,Just ask for calibration: Strategies for eliciting calibrated confidence scores from language models fine-tuned with human feedback,Just Ask for Calibration: Strategies for Eliciting Calibrated Confidence Scores from Language Models Fine-Tuned with Human Feedback,"Katherine Tian, Eric Mitchell, Allan Zhou, Archit Sharma, Rafael Rafailov, Huaxiu Yao, Chelsea Finn, and Christopher D. Manning",Katherine Tian; Eric Mitchell; Allan Zhou; Archit Sharma; Rafael Rafailov; Huaxiu Yao; Chelsea Finn; Christopher D. Manning,2023,2023/05/24; 2023/10/24,"ArXiv, abs/2305.14975, 2023.",arXiv preprint,https://arxiv.org/abs/2305.14975,reachable,
93,matched,Metafaith: Faithful natural language uncertainty expression in llms,MetaFaith: Faithful Natural Language Uncertainty Expression in LLMs,"Gabrielle Kaili-May Liu, Gal Yona, Avi Caciularu, Idan Szpektor, Tim G. J. Rudner, and Arman Cohan",Gabrielle Kaili-May Liu; Gal Yona; Avi Caciularu; Idan Szpektor; Tim G. J. Rudner; Arman Cohan,2025,2025/05/30; 2025/10/02,"ArXiv, abs/2505.24858, 2025.",arXiv preprint,https://arxiv.org/abs/2505.24858,reachable,
94,matched,Can llms express their uncertainty? an empirical evaluation of confidence elicitation in llms,Can LLMs Express Their Uncertainty? An Empirical Evaluation of Confidence Elicitation in LLMs,"Miao Xiong, Zhiyuan Hu, Xinyang Lu, Yifei Li, Jie Fu, Junxian He, and Bryan Hooi",Miao Xiong; Zhiyuan Hu; Xinyang Lu; Yifei Li; Jie Fu; Junxian He; Bryan Hooi,2023,2023/06/22; 2024/03/17,"ArXiv, abs/2306.13063, 2023.",arXiv preprint,https://arxiv.org/abs/2306.13063,reachable,
95,matched,Can large language models faithfully express their intrinsic uncertainty in words?,Can Large Language Models Faithfully Express Their Intrinsic Uncertainty in Words?,"Gal Yona, Roee Aharoni, and Mor Geva",Gal Yona; Roee Aharoni; Mor Geva,2024,2024/05/27; 2024/09/26,"ArXiv, abs/2405.16908, 2024.",arXiv preprint,https://arxiv.org/abs/2405.16908,reachable,
96,differences,Agentic uncertainty reveals agentic overconfidence,Agentic Uncertainty Reveals Agentic Overconfidence,"Jean Kaddour, Sr Patel, Gbètondji J.-S. Dovonon, Leo Richter, Pasquale Minervini, and Matt J. Kusner",Jean Kaddour; Srijan Patel; Gbètondji Dovonon; Leo Richter; Pasquale Minervini; Matt J. Kusner,2026,2026/02/06; 2026/02/06,"ArXiv, abs/2602.06948, 2026.",arXiv preprint,https://arxiv.org/abs/2602.06948,reachable,Source name forms differ for: Sr Patel. This may include spelling errors or author name variants; the source author list is shown separately.
97,differences,Atomic calibration of llms in long-form generations,Atomic Calibration of LLMs in Long-Form Generations,"Caiqi Zhang, Ruihan Yang, Zhisong Zhang, Xinting Huang, Sen Yang, Dong Yu, and Nigel Collier",Caiqi Zhang; Ruihan Yang; Zhisong Zhang; Xinting Huang; Sen Yang; Dong Yu (于东); Nigel Collier,2024,2025/12,"InIJCNLP-AACL, 2024.",Proceedings of the 14th International Joint Conference on Natural Language Processing and the 4th Conference of the Asia-Pacific Chapter of the Association for Computational Linguistics,https://aclanthology.org/2025.findings-ijcnlp.9/,reachable,Survey year: 2024. Selected source date year(s): 2025. Preprint and publication dates must be cited as separate versions.
98,matched,Thermometer: Towards universal calibration for large language models,Thermometer: Towards Universal Calibration for Large Language Models,"Maohao Shen, Subhro Das, Kristjan Greenewald, Prasanna Sattigeri, Gregory Wornell, and Soumya Ghosh",Maohao Shen; Subhro Das; Kristjan Greenewald; Prasanna Sattigeri; Gregory Wornell; Soumya Ghosh,2024,2024/02/20; 2024/06/27,"ArXiv, abs/2403.08819, 2024.",arXiv preprint,https://arxiv.org/abs/2403.08819,reachable,
99,matched,Calibrating large language models using their generations only,Calibrating Large Language Models Using Their Generations Only,"Dennis Ulmer, Martin Gubri, Hwaran Lee, Sangdoo Yun, and Seong Joon Oh",Dennis Ulmer; Martin Gubri; Hwaran Lee; Sangdoo Yun; Seong Joon Oh,2024,2024/03/09; 2024/03/09,"ArXiv, abs/2403.05973, 2024.",arXiv preprint,https://arxiv.org/abs/2403.05973,reachable,
100,differences,Your pre-trained llm is secretly an unsupervised confidence calibrator,Your Pre-trained LLM is Secretly an Unsupervised Confidence Calibrator,"Beier Luo, Shuoyuan Wang, Yixuan Li, and Hongxin Wei",Beier Luo; Shuoyuan Wang; Sharon Li; Hongxin Wei,2025,2025/05/22; 2025/11/25,"ArXiv, abs/2505.16690, 2025.",arXiv preprint,https://arxiv.org/abs/2505.16690,reachable,Source name forms differ for: Yixuan Li. This may include spelling errors or author name variants; the source author list is shown separately.
101,matched,Basecal: Unsupervised confidence calibration via base model signals,BaseCal: Unsupervised Confidence Calibration via Base Model Signals,"Hexiang Tan, Wanli Yang, Junwei Zhang, Xin Chen, Rui Tang, Du Su, Jingang Wang, Yuanzhuo Wang, Fei Sun, and Xueqi Cheng",Hexiang Tan; Wanli Yang; Junwei Zhang; Xin Chen; Rui Tang; Du Su; Jingang Wang; Yuanzhuo Wang; Fei Sun; Xueqi Cheng,2026,2026/01/06; 2026/05/11,"ArXiv, abs/2601.03042, 2026.",arXiv preprint,https://arxiv.org/abs/2601.03042,reachable,
102,matched,Confidence estimation for llms in multi-turn interactions,Confidence Estimation for LLMs in Multi-turn Interactions,"Caiqi Zhang, Ruihan Yang, Xiaochen Zhu, Chengzu Li, Tiancheng Hu, Yijiang River Dong, Deqing Yang, and Nigel Collier",Caiqi Zhang; Ruihan Yang; Xiaochen Zhu; Chengzu Li; Tiancheng Hu; Yijiang River Dong; Deqing Yang; Nigel Collier,2026,2026/01/05; 2026/05/13,"ArXiv, abs/2601.02179, 2026.",arXiv preprint,https://arxiv.org/abs/2601.02179,reachable,
103,matched,Confidence should be calibrated more than one turn deep,Confidence Should Be Calibrated More Than One Turn Deep,"Zhaohan Zhang, Chengzhengxu Li, Xiaoming Liu, Chao Shen, Ziquan Liu, and Ioannis Patras",Zhaohan Zhang; Chengzhengxu Li; Xiaoming Liu; Chao Shen; Ziquan Liu; Ioannis Patras,2026,2026/04/07; 2026/04/07,"ArXiv, abs/2604.05397, 2026.",arXiv preprint,https://arxiv.org/abs/2604.05397,reachable,
104,matched,Margin: Runtime confidence calibration for multi-agent foundation model coordination,MARGIN: Runtime Confidence Calibration for Multi-Agent Foundation Model Coordination,Joss Armstrong,Joss Armstrong,2026,2026/05/21; 2026/07/31,2026.,arXiv preprint,https://arxiv.org/abs/2605.22949,reachable,
105,matched,Lacie: Listener-aware finetuning for confidence calibration in large language models,LACIE: Listener-Aware Finetuning for Confidence Calibration in Large Language Models,"Elias Stengel-Eskin, Peter Hase, and Mohit Bansal",Elias Stengel-Eskin; Peter Hase; Mohit Bansal,2024,2024/05/31; 2024/07/03,"ArXiv, abs/2405.21028, 2024.",arXiv preprint,https://arxiv.org/abs/2405.21028,reachable,
106,matched,Conftuner: Training large language models to express their confidence verbally,ConfTuner: Training Large Language Models to Express Their Confidence Verbally,"Yibo Li, Miao Xiong, Jiaying Wu, and Bryan Hooi",Yibo Li; Miao Xiong; Jiaying Wu; Bryan Hooi,2025,2025/08/26; 2025/11/25,"ArXiv, abs/2508.18847, 2025.",arXiv preprint,https://arxiv.org/abs/2508.18847,reachable,
107,matched,R-tuning: Instructing large language models to say ‘i don’t know’,R-Tuning: Instructing Large Language Models to Say `I Don't Know',"Hanning Zhang, Shizhe Diao, Yong Lin, Yi R. Fung, Qing Lian, Xingyao Wang, Yangyi Chen, Heng Ji, and Tong Zhang",Hanning Zhang; Shizhe Diao; Yong Lin; Yi R. Fung; Qing Lian; Xingyao Wang; Yangyi Chen; Heng Ji; Tong Zhang,2023,2023/11/16; 2024/06/07,"ArXiv, abs/2311.09677, 2023.",arXiv preprint,https://arxiv.org/abs/2311.09677,reachable,
108,matched,Large language models must be taught to know what they don’t know,Large Language Models Must Be Taught to Know What They Don't Know,"Sanyam Kapoor, Nate Gruver, Manley Roberts, Katherine Collins, Arka Pal, Umang Bhatt, Adrian Weller, Samuel Dooley, Micah Goldblum, and Andrew Gordon Wilson",Sanyam Kapoor; Nate Gruver; Manley Roberts; Katherine Collins; Arka Pal; Umang Bhatt; Adrian Weller; Samuel Dooley; Micah Goldblum; Andrew Gordon Wilson,2024,2024/06/12; 2025/08/17,"ArXiv, abs/2406.08391, 2024.",arXiv preprint,https://arxiv.org/abs/2406.08391,reachable,
109,matched,Linguistic calibration of long-form generations,Linguistic Calibration of Long-Form Generations,"Neil Band, Xuechen Li, Tengyu Ma, and Tatsunori Hashimoto",Neil Band; Xuechen Li; Tengyu Ma; Tatsunori Hashimoto,2024,2024/03/30; 2024/06/04,"ArXiv, abs/2404.00474, 2024.",arXiv preprint,https://arxiv.org/abs/2404.00474,reachable,
110,matched,Sayself: Teaching llms to express confidence with self-reflective rationales,SaySelf: Teaching LLMs to Express Confidence with Self-Reflective Rationales,"Tianyang Xu, Shujin Wu, Shizhe Diao, Xiaoze Liu, Xingyao Wang, Yangyi Chen, and Jing Gao",Tianyang Xu; Shujin Wu; Shizhe Diao; Xiaoze Liu; Xingyao Wang; Yangyi Chen; Jing Gao,2024,2024/11,"InProceedings of the 2024 Conference on Empirical Methods in Natural Language Processing, pages 5985–5998, 2024.",Proceedings of the 2024 Conference on Empirical Methods in Natural Language Processing,https://doi.org/10.18653/v1/2024.emnlp-main.343,reachable,
111,matched,Logu: Long-form generation with uncertainty expressions,LoGU: Long-form Generation with Uncertainty Expressions,"Ruihan Yang, Caiqi Zhang, Zhisong Zhang, Xinting Huang, Sen Yang, Nigel Collier, Dong Yu, and Deqing Yang",Ruihan Yang; Caiqi Zhang; Zhisong Zhang; Xinting Huang; Sen Yang; Nigel Collier; Dong Yu; Deqing Yang,2024,2024/10/18; 2025/06/04,"ArXiv, abs/2410.14309, 2024.",arXiv preprint,https://arxiv.org/abs/2410.14309,reachable,
112,version,Reinforcement learning for better verbalized confidence in long-form generation,Reinforcement Learning for Better Verbalized Confidence in Long-Form Generation,"Caiqi Zhang, Xiaochen Zhu, Chengzu Li, Nigel Collier, and Andreas Vlachos",Caiqi Zhang; Xiaochen Zhu; Chengzu Li; Nigel Collier; Andreas Vlachos,2025,2025/05/29; 2025/05/29,"ArXiv, abs/2505.23912, 2025.",arXiv preprint,https://arxiv.org/abs/2505.23912v1,reachable,The survey title matches the earlier arXiv version. The current version is titled “LoVeC: Reinforcement Learning for Better Verbalized Confidence in Long-Form Generations”.
113,matched,Demystifying multi-agent debate: The role of confidence and diversity,Demystifying Multi-Agent Debate: The Role of Confidence and Diversity,"Xiaochen Zhu, Caiqi Zhang, Yizhou Chi, Tom Stafford, Nigel Collier, and Andreas Vlachos",Xiaochen Zhu; Caiqi Zhang; Yizhou Chi; Tom Stafford; Nigel Collier; Andreas Vlachos,2026,2026/7,"InFindings of the Association for Computational Linguistics: ACL 2026, pages 33909–33930, 2026.",Findings of the Association for Computational Linguistics: ACL 2026,https://doi.org/10.18653/v1/2026.findings-acl.1694,reachable,
114,matched,Rewarding doubt: A reinforcement learning approach to calibrated confidence expression of large language models,Rewarding Doubt: A Reinforcement Learning Approach to Calibrated Confidence Expression of Large Language Models,"Paul Stangel, David Bani-Harouni, Chantal Pellegrini, Ege Özsoy, Kamilia Zaripova, Matthias Keicher, and Nassir Navab",David Bani-Harouni; Chantal Pellegrini; Paul Stangel; Ege Özsoy; Kamilia Zaripova; Nassir Navab; Matthias Keicher,2025,2025/03/04; 2026/02/28,"ArXiv, abs/2503.02623, 2025.",arXiv preprint,https://arxiv.org/abs/2503.02623,reachable,
115,matched,When to trust llms: Aligning confidence with response quality,When to Trust LLMs: Aligning Confidence with Response Quality,"Shuchang Tao, Liuyi Yao, Hanxing Ding, Yuexiang Xie, Qi Cao, Fei Sun, Jinyang Gao, Huawei Shen, and Bolin Ding",Shuchang Tao; Liuyi Yao; Hanxing Ding; Yuexiang Xie; Qi Cao; Fei Sun; Jinyang Gao; Huawei Shen; Bolin Ding,2024,2024/04/26; 2024/09/29,"ArXiv, abs/2404.17287, 2024.",arXiv preprint,https://arxiv.org/abs/2404.17287,reachable,
116,differences,Orce: Order-aware alignment of verbalized confidence in large language models,ORCE: Order-Aware Alignment of Verbalized Confidence in Large Language Models,"Chen Li, Xiaolin Hu, Songzhu Zheng, Jiawei Zhou, and Chaoran Chen",Chen Li; Xiaoling Hu; Songzhu Zheng; Jiawei Zhou; Chao Chen,2026,2026/05/12; 2026/05/12,2026.,arXiv preprint,https://arxiv.org/abs/2605.12446,reachable,Source name forms differ for: Xiaolin Hu; Chaoran Chen. This may include spelling errors or author name variants; the source author list is shown separately.
117,matched,Process supervision of confidence margin for calibrated llm reasoning,Process Supervision of Confidence Margin for Calibrated LLM Reasoning,"Liaoyaqi Wang, Chunsheng Zuo, William Jurayj, Benjamin Van Durme, and Anqi Liu",Liaoyaqi Wang; Chunsheng Zuo; William Jurayj; Benjamin Van Durme; Anqi Liu,2026,2026/04/25; 2026/08/10,"ArXiv, abs/2604.23333, 2026.",arXiv preprint,https://arxiv.org/abs/2604.23333,reachable,
118,matched,Uncertainty-aware clarification in llm agents with information gain,Uncertainty-Aware Clarification in LLM Agents with Information Gain,"Mengyi Deng, Zhiwei Li, Xin Li, Tingyu Zhu, Ying Zhao, Zhijiang Guo, and Wei Wang",Mengyi Deng; Zhiwei Li; Xin Li; Tingyu Zhu; Ying Zhao; Zhijiang Guo; Wei Wang,2026,2026/06/02; 2026/06/02,2026.,arXiv preprint,https://arxiv.org/abs/2606.03135,reachable,
119,matched,Exploring agentic tool-calling decisions via uncertainty-aligned reinforcement learning,Exploring Agentic Tool-Calling Decisions via Uncertainty-Aligned Reinforcement Learning,"Yijin Zhou, Linqian Zeng, Xiaoya Lu, Wenyuan Xie, Dongrui Liu, Junchi Yan, and Jing Shao",Yijin Zhou; Linqian Zeng; Xiaoya Lu; Wenyuan Xie; Dongrui Liu; Junchi Yan; Jing Shao,2026,2026/06/05; 2026/06/05,2026.,arXiv preprint,https://arxiv.org/abs/2606.06976,reachable,
120,matched,Taming overconfidence in llms: Reward calibration in rlhf,Taming Overconfidence in LLMs: Reward Calibration in RLHF,"Jixuan Leng, Chengsong Huang, Banghua Zhu, and Jiaxin Huang",Jixuan Leng; Chengsong Huang; Banghua Zhu; Jiaxin Huang,2024,2024/10/13; 2025/02/28,"ArXiv, abs/2410.09724, 2024.",arXiv preprint,https://arxiv.org/abs/2410.09724,reachable,
121,matched,Conformal language modeling,Conformal Language Modeling,"Victor Quach, Adam Fisch, Tal Schuster, Adam Yala, Jae Ho Sohn, Tommi S. Jaakkola, and Regina Barzilay",Victor Quach; Adam Fisch; Tal Schuster; Adam Yala; Jae Ho Sohn; Tommi S. Jaakkola; Regina Barzilay,2023,2023/06/16; 2024/06/01,"ArXiv, abs/2306.10193, 2023.",arXiv preprint,https://arxiv.org/abs/2306.10193,reachable,
122,matched,Language models with conformal factuality guarantees,Language Models with Conformal Factuality Guarantees,Christopher Mohri and Tatsunori Hashimoto,Christopher Mohri; Tatsunori Hashimoto,2024,2024/02/15; 2024/02/15,"ArXiv, abs/2402.10978, 2024.",arXiv preprint,https://arxiv.org/abs/2402.10978,reachable,
123,matched,Conformal linguistic calibration: Trading-off between factuality and specificity,Conformal Linguistic Calibration: Trading-off between Factuality and Specificity,"Zhengping Jiang, Anqi Liu, and Benjamin Van Durme",Zhengping Jiang; Anqi Liu; Benjamin Van Durme,2025,2025/02/26; 2025/08/11,"ArXiv, abs/2502.19110, 2025.",arXiv preprint,https://arxiv.org/abs/2502.19110,reachable,
124,differences,Learning to ask: When llm agents meet unclear instruction,Learning to Ask: When LLM Agents Meet Unclear Instruction,"Wenxuan Wang, Juluan Shi, Chaozheng Wang, Cheryl Lee, Youliang Yuan, Jen-Tse Huang, and Michael R. Lyu",Wenxuan Wang; Shi Juluan; Zixuan Ling; Yuk-Kit Chan; Chaozheng Wang; Cheryl Lee; Youliang Yuan; Jen-tse Huang; Wenxiang Jiao; Michael R. Lyu,2024,2025/11,"InConference on Empirical Methods in Natural Language Processing, 2024.",Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing,https://doi.org/10.18653/v1/2025.emnlp-main.1104,reachable,Source name forms differ for: Juluan Shi. This may include spelling errors or author name variants; the source author list is shown separately. | The source lists 10 authors; the survey names 7 without et al. This can reflect a publication-version change. | Survey year: 2024. Selected source date year(s): 2025. Preprint and publication dates must be cited as separate versions.
125,matched,Ask or assume? uncertainty-aware clarification-seeking in coding agents,Ask or Assume? Uncertainty-Aware Clarification-Seeking in Coding Agents,Nicholas Edwards and Sebastian Schuster,Nicholas Edwards; Sebastian Schuster,2026,2026/03/27; 2026/09/07,"ArXiv, abs/2603.26233, 2026.",arXiv preprint,https://arxiv.org/abs/2603.26233,reachable,
126,matched,Uncertainty decomposition for clarification seeking in llm agents,Uncertainty Decomposition for Clarification Seeking in LLM Agents,Gregory Matsnev,Gregory Matsnev,2026,2026/06/17; 2026/06/17,2026.,arXiv preprint,https://arxiv.org/abs/2606.19559,reachable,
127,matched,Uncertainty-aware gui agent: Adaptive perception through component recommendation and human-in-the-loop refinement,Uncertainty-Aware GUI Agent: Adaptive Perception through Component Recommendation and Human-in-the-Loop Refinement,"Chao Hao, Shuai Wang, and Kaiwen Zhou",Chao Hao; Shuai Wang; Kaiwen Zhou,2025,2025/08/06; 2025/08/06,"ArXiv, abs/2508.04025, 2025.",arXiv preprint,https://arxiv.org/abs/2508.04025,reachable,
128,differences,Context-aware replanning with pre-explored semantic map for object navigation,Context-Aware Replanning with Pre-Explored Semantic Map for Object Navigation,"Hung-Ting Su, Ching yuan Chen, Po-Chen Ko, Jia-Fong Yeh, Min Sun, and Winston H. Hsu",Po-Chen Ko; Hung-Ting Su; CY Chen; Jia-Fong Yeh; Min Sun; Winston H. Hsu,2024,2025/01/12,"InConference on Robot Learning, 2024.",Conference on Robot Learning,https://proceedings.mlr.press/v270/ko25b.html,reachable,Source name forms differ for: Ching yuan Chen. This may include spelling errors or author name variants; the source author list is shown separately. | Survey year: 2024. Selected source date year(s): 2025. Preprint and publication dates must be cited as separate versions. | CoRL was held in November 2024; PMLR volume 270 was published in January 2025. The survey uses the conference year.
129,version,Dragin: Dynamic retrieval augmented generation based on the real-time information needs of large language models,DRAGIN: Dynamic Retrieval Augmented Generation based on the Real-time Information Needs of Large Language Models,"Weihang Su, Yichen Tang, Qingyao Ai, Zhijing Wu, and Yiqun Liu",Weihang Su; Yichen Tang; Qingyao Ai; Zhijing Wu; Yiqun Liu,2024,2024/8,"InAnnual Meeting of the Association for Computational Linguistics, 2024.",Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),https://aclanthology.org/2024.acl-long.702/,reachable,The survey title matches the earlier arXiv version. The current version is titled “DRAGIN: Dynamic Retrieval Augmented Generation based on the Information Needs of Large Language Models”.
130,matched,At2po: Agentic turn-based policy optimization via tree search,AT$^2$PO: Agentic Turn-based Policy Optimization via Tree Search,"Zefang Zong, Dingwei Chen, Yang Li, Qi Yi, Bo Zhou, Chengming Li, Bo Qian, Peng Chen, and Jie Jiang",Zefang Zong; Dingwei Chen; Yang Li; Qi Yi; Bo Zhou; Chengming Li; Bo Qian; Peng Chen; Jie Jiang,2026,2026/01/08; 2026/01/08,"ArXiv, abs/2601.04767, 2026.",arXiv preprint,https://arxiv.org/abs/2601.04767,reachable,
131,matched,Towards uncertainty-aware language agent,Towards Uncertainty-Aware Language Agent,"Jiuzhou Han, Wray L. Buntine, and Ehsan Shareghi",Jiuzhou Han; Wray Buntine; Ehsan Shareghi,2024,2024/01/25; 2024/05/30,"ArXiv, abs/2401.14016, 2024.",arXiv preprint,https://arxiv.org/abs/2401.14016,reachable,
132,differences,From assumptions to actions: Turning llm reasoning into uncertainty-aware planning for embodied agents,From Assumptions to Actions: Turning LLM Reasoning into Uncertainty-Aware Planning for Embodied Agents,"Seung hun Seo, Soobin Lim, SeongRae Noh, Haneul Kim, and HyeongYeop Kang",SeungWon Seo; SooBin Lim; SeongRae Noh; Haneul Kim; HyeongYeop Kang,2026,2026/02/04; 2026/02/04,"ArXiv, abs/2602.04326, 2026.",arXiv preprint,https://arxiv.org/abs/2602.04326,reachable,Source name forms differ for: Seung hun Seo. This may include spelling errors or author name variants; the source author list is shown separately.
133,matched,Agentic test-time scaling for webagents,Agentic Test-Time Scaling for WebAgents,"Nicholas Lee, Lutfi Eren Erdogan, Chris Joseph John, Surya Krishnapillai, Michael W. Mahoney, Kurt Keutzer, and Amir Gholami",Nicholas Lee; Lutfi Eren Erdogan; Chris Joseph John; Surya Krishnapillai; Michael W. Mahoney; Kurt Keutzer; Amir Gholami,2026,2026/02/12; 2026/08/14,"ArXiv, abs/2602.12276, 2026.",arXiv preprint,https://arxiv.org/abs/2602.12276,reachable,
134,differences,Egss: Entropy-guided stepwise scaling for reliable software engineering,EGSS: Entropy-guided Stepwise Scaling for Reliable Software Engineering,"Chenhui Mao, Yu Lei, Zhixiang Wei, Ming Liang, Zhixiang Wang, Jing Xu, Dajun Chen, Wei Jiang, and Yong Li",Chenhui Mao; Yuanting Lei; Zhixiang Wei; Ming Liang; Zhixiang Wang; Jingxuan Xu; Dajun Chen; Wei Jiang; Yong Li,2026,2026/02/05; 2026/02/05,"ArXiv, abs/2602.05242, 2026.",arXiv preprint,https://arxiv.org/abs/2602.05242,reachable,Source name forms differ for: Yu Lei; Jing Xu. This may include spelling errors or author name variants; the source author list is shown separately.
135,matched,Demystifying multi-agent debate: The role of confidence and diversity,Demystifying Multi-Agent Debate: The Role of Confidence and Diversity,"Xiaochen Zhu, Caiqi Zhang, Yizhou Chi, Tom Stafford, Nigel Collier, and Andreas Vlachos",Xiaochen Zhu; Caiqi Zhang; Yizhou Chi; Tom Stafford; Nigel Collier; Andreas Vlachos,2026,2026/01/09; 2026/06/03,"ArXiv, abs/2601.19921, 2026.",arXiv preprint,https://arxiv.org/abs/2601.19921,reachable,
136,version,Debunc: Mitigating hallucinations in large language model agent communication with uncertainty estimations,DebUnc: Mitigating Hallucinations in Large Language Model Agent Communication with Uncertainty Estimations,"Luke Yoffe, Alfonso Amayuelas, and William Yang Wang",Luke Yoffe; Alfonso Amayuelas; William Yang Wang,2024,2024/07/08; 2024/07/08,"ArXiv, abs/2407.06426, 2024.",arXiv preprint,https://arxiv.org/abs/2407.06426v1,reachable,The survey title matches the earlier arXiv version. The current version is titled “DebUnc: Improving Large Language Model Agent Communication With Uncertainty Metrics”.
137,matched,Agentic reinforced policy optimization,Agentic Reinforced Policy Optimization,"Guanting Dong, Hangyu Mao, Kai Ma, Licheng Bao, Yifei Chen, Zhongyuan Wang, Zhongxia Chen, Jiazhen Du, Huiyang Wang, Fuzheng Zhang, Guorui Zhou, Yutao Zhu, Ji-Rong Wen, and Zhicheng Dou",Guanting Dong; Hangyu Mao; Kai Ma; Licheng Bao; Yifei Chen; Zhongyuan Wang; Zhongxia Chen; Jiazhen Du; Huiyang Wang; Fuzheng Zhang; Guorui Zhou; Yutao Zhu; Ji-Rong Wen; Zhicheng Dou,2025,2025/07/26; 2025/07/26,"ArXiv, abs/2507.19849, 2025.",arXiv preprint,https://arxiv.org/abs/2507.19849,reachable,
138,matched,Agentic entropy-balanced policy optimization,Agentic Entropy-Balanced Policy Optimization,"Guanting Dong, Licheng Bao, Zhongyuan Wang, Kangzhi Zhao, Xiaoxi Li, Jiajie Jin, Jinghan Yang, Hangyu Mao, Fuzheng Zhang, Kun Gai, Guorui Zhou, Yutao Zhu, Ji-Rong Wen, and Zhicheng Dou",Guanting Dong; Licheng Bao; Zhongyuan Wang; Kangzhi Zhao; Xiaoxi Li; Jiajie Jin; Jinghan Yang; Hangyu Mao; Fuzheng Zhang; Kun Gai; Guorui Zhou; Yutao Zhu; Ji-Rong Wen; Zhicheng Dou,2025,2025/10/16; 2025/10/16,"ArXiv, abs/2510.14545, 2025.",arXiv preprint,https://arxiv.org/abs/2510.14545,reachable,
139,matched,Agent explorative policy optimization for multimodal agentic reasoning,Agent Explorative Policy Optimization for Multimodal Agentic Reasoning,"Minki Kang, Shizhe Diao, Ryo Hachiuma, Sung Ju Hwang, Pavlo Molchanov, Yu-Chiang Frank Wang, and Byung-Kwan Lee",Minki Kang; Shizhe Diao; Ryo Hachiuma; Sung Ju Hwang; Pavlo Molchanov; Yu-Chiang Frank Wang; Byung-Kwan Lee,2026,2026/05/27; 2026/05/27,2026.,arXiv preprint,https://arxiv.org/abs/2605.28774,reachable,
140,matched,Search wisely: Mitigating sub-optimal agentic searches by reducing uncertainty,Search Wisely: Mitigating Sub-optimal Agentic Searches By Reducing Uncertainty,"Peilin Wu, Mian Zhang, Xinlu Zhang, Xinya Du, and Zhiyu Zoey Chen",Peilin Wu; Mian Zhang; Xinlu Zhang; Xinya Du; Zhiyu Zoey Chen,2025,2025/05/22; 2025/10/09,"ArXiv, abs/2505.17281, 2025.",arXiv preprint,https://arxiv.org/abs/2505.17281,reachable,
141,differences,Tools in the loop: Quantifying uncertainty of llm question answering systems that use tools,Tools in the Loop: Quantifying Uncertainty of LLM Question Answering Systems That Use Tools,Panagiotis Lymperopoulos and Vasanth Sarathy,Panagiotis Lymperopoulos; Vasanth Sarathy,2025,2025/05/22; 2025/05/22,"InAdaptive Agents and Multi-Agent Systems, 2025.",AAMAS 2025: Autonomous Agents and Multiagent Systems,https://arxiv.org/abs/2505.16113,reachable,Conference and year confirmed by the conference or author publication record: AAMAS 2025: Autonomous Agents and Multiagent Systems. | AAMAS expands to Autonomous Agents and Multiagent Systems; the survey gives Adaptive Agents and Multi-Agent Systems.
142,differences,Towards trustworthy report generation: A deep research agent with progressive confidence estimation and calibration,Towards Trustworthy Report Generation: A Deep Research Agent with Progressive Confidence Estimation and Calibration,"Yingfang Yuan, Xuhong Wang, and Shanzhe Lei",Yi Yuan; Xuhong Wang; Shanzhe Lei,2026,2026/04/07; 2026/04/07,"ArXiv, abs/2604.05952, 2026.",arXiv preprint,https://arxiv.org/abs/2604.05952,reachable,Source name forms differ for: Yingfang Yuan. This may include spelling errors or author name variants; the source author list is shown separately.
143,matched,Confidence calibration and rationalization for llms via multi-agent deliberation,Confidence Calibration and Rationalization for LLMs via Multi-Agent Deliberation,"Ruixin Yang, Dheeraj Rajagopal, Shirley Anugrah Hayati, Bin Hu, and Dongyeop Kang",Ruixin Yang; Dheeraj Rajagopal; Shirley Anugrah Hayati; Bin Hu; Dongyeop Kang,2024,2024/04/14; 2024/05/10,"ArXiv, abs/2404.09127, 2024.",arXiv preprint,https://arxiv.org/abs/2404.09127,reachable,
